קוד,Medication_Name,Package_Size,Max_Retailer_Price,Max_Consumer_Price,Max_Consumer_VAT_Price,Year
4783,ABBOSYNAGIS 100MG PUL FOR INJ+SOLV,1.0,4895.29,5751.97,6672.28,2011
4782,ABBOSYNAGIS 50MG PUL FOR INJ+SOLV,1.0,2712.02,3186.62,3696.48,2011
6447,ABILIFY 10MG 28TAB,28.0,506.32,594.92,690.11,2011
6448,ABILIFY 15MG 28TAB,28.0,500.62,588.23,682.35,2011
6449,ABILIFY 30MG 28TAB,28.0,795.88,935.16,1084.78,2011
6446,ABILIFY 5MG 28TAB,28.0,477.55,561.13,650.91,2011
1342,ABITREN 100MG 10 SR TAB,10.0,8.68,11.88,13.79,2011
1343,ABITREN 100MG 20 SR TAB,20.0,17.35,23.77,27.57,2011
1344,ABITREN 25MG 20TAB,20.0,4.35,5.96,6.92,2011
1346,ABITREN 50MG 10SUPP,10.0,7.9,10.83,12.56,2011
1345,ABITREN INJ 75MG/3CC,5.0,8.05,11.03,12.79,2011
4537,ACERIL 12.5MG 90TAB,90.0,24.8,33.98,39.42,2011
4538,ACERIL 25MG 90TAB,90.0,36.5,50.01,58.01,2011
4539,ACERIL 50MG 90TAB,90.0,65.16,87.64,101.66,2011
6016,ACLASTA 5MG/100ML 1BOTTLE,1.0,1728.79,2031.33,2356.34,2011
2163,ACNETRIM SOL 25ML,25.0,11.9,16.3,18.9,2011
6062,ACOMPLIA 20MG 28TAB,28.0,,,,2011
6620,ACROSE 100MG 30TAB,30.0,24.25,33.22,38.54,2011
6619,ACROSE 50MG 30TAB,30.0,16.97,23.25,26.97,2011
6416,ACTEMRA 20MG/ML 1X10ML(200mg) CONC. FOR SOLUTION FOR INF.,1.0,1828.13,2148.05,2491.74,2011
6417,ACTEMRA 20MG/ML 1X20ML(400mg) CONC. FOR SOLUTION FOR INF.,1.0,3656.26,4296.1,4983.48,2011
6415,ACTEMRA 20MG/ML 1X4ML(80mg) CONC. FOR SOLUTION FOR INF.,1.0,731.19,859.15,996.61,2011
6126,ACTIQ 1200MCG 30 COMPRESSED TAB,30.0,1062.4,1248.32,1448.05,2011
6127,ACTIQ 1600MCG 30 COMPRESSED TAB,30.0,1062.4,1248.32,1448.05,2011
6122,ACTIQ 200MCG 30 COMPRESSED TAB,30.0,984.07,1156.28,1341.29,2011
