Medication_Name,Package_Size,Max_Retailer_Price,Max_Consumer_Price,Max_Consumer_VAT_Price,Year
ABBOSYNAGIS 100MG PUL FOR INJ+SOLV,1.0,2773.9828564666673,3051.381142113334,3570.115805321529,2021
ABBOSYNAGIS 50MG PUL FOR INJ+SOLV,1.0,1510.74197,1775.12181475,2076.8924470775364,2021
ABELCET 5MG/ML 10 VIAL 20ML (100MG/20ML),10.0,3689.9130603333333,4058.904366366667,4748.917934459722,2021
ABILIFY  MAINTENA 300 MG VIAL,1.0,1145.1766250833334,1345.582534472917,1574.331507587175,2021
ABILIFY MAINTENA 400 MG/PREFILLED SYR,1.0,931.7234320633333,1094.7750326744167,1280.8867412464201,2021
ABIRATERONE ACETATE 250MG 120TAB,120.0,13221.014,14543.1154,17015.4443938772,2021
ABITREN 100MG 10 SR TAB,10.0,7.176,9.83112,11.502409978094102,2021
ABITREN 50MG 10SUPP,10.0,8.04,11.0148,12.887315527296066,2021
ABITREN INJ 75MG/3CC,5.0,8.074,11.06138,12.94181412529707,2021
ABRAXANE 5MG/ML VIAL 100MG/20ML,1.0,1031.77804847,1212.33920695225,1418.436820106178,2021
ABSTRAL 100MCG 30TAB SUBLINGUAL,30.0,748.294,879.24545,1028.7171387668789,2021
ABSTRAL 200MCG 30TAB SUBLINGUAL,30.0,762.3881,895.8060175,1048.0930020311764,2021
ABSTRAL 400MCG 30TAB SUBLINGUAL,30.0,744.6046,874.9104050000001,1023.6451363029189,2021
ABSTRAL 600MCG 30TAB SUBLINGUAL,30.0,757.4304,889.98072,1041.277404206171,2021
ABSTRAL 800MCG 30 TAB SUBLINGUAL,30.0,740.0613,869.5720275,1017.3992348570171,2021
ACCOFIL 300 MCG/0.5 ML,1.0,119.91367573333332,149.89209466666665,175.37374432732915,2021
ACCOFIL 480 MCG/0.5 ML 1PFS,1.0,180.71195851000002,225.88994813750003,264.29122962673017,2021
ACERIL 12.5MG 90TAB,90.0,11.0162,15.092194000000001,17.6578663323133,2021
ACERIL 25MG 90TAB,90.0,23.4829,32.171573,37.64073902934587,2021
ACERIL 50MG 90TAB,90.0,30.9335,42.378895,49.58330533129513,2021
ACLASTA 5MG/100ML 1BOTTLE,1.0,814.5378,957.081915,1119.7857994765002,2021
ACNETRIM SOL 25ML,25.0,11.4049,15.624713,18.280913539460062,2021
ACROSE 100MG 30TAB,30.0,17.7275,24.286675000000002,28.415408707728986,2021
ACROSE 50MG 30TAB,30.0,12.3148,16.871276,19.739392195963386,2021
ACTEMRA 162 MG S.C. 4 SYRINGE PREFILLED,4.0,3308.849090333333,3639.733999366667,4258.488623058563,2021
ACTEMRA 20MG/ML 1X10ML(200MG) CONC. FOR SOLUTION FOR INF.,1.0,1205.2197325833333,1416.1331857854168,1656.8757665950945,2021
ACTEMRA 20MG/ML 1X4ML(80MG) CONC. FOR SOLUTION FOR INF.,1.0,482.022741,566.376720675,662.6607388834981,2021
ACTILYSE 20 MG 1VIAL/20ML,1.0,653.0526,767.336805,897.7840289194769,2021
ACTILYSE 50 MG 1VIAL/50ML,1.0,1890.4,2079.44,2432.94471076012,2021
ACTIQ 1200MCG 30 COMPRESSED TAB,30.0,817.4896290000001,960.5503140750002,1123.8438262454029,2021
ACTIQ 1600MCG 30 COMPRESSED TAB,30.0,786.1825994,923.764554295,1080.8044888814761,2021
ACTIQ 200MCG 30 COMPRESSED TAB,30.0,627.1707581000001,736.9256407675001,862.2029680725576,2021
ACTIQ 400MCG 30 COMPRESSED TAB,30.0,755.4099041999999,887.6066374349999,1038.4997277070056,2021
ACTIQ 600MCG 30 COMPRESSED TAB,30.0,697.5588875000001,819.6316928125001,958.9690454158489,2021
ACTIQ 800MCG 30 COMPRESSED TAB,30.0,876.2037,1029.5393475,1204.5609923919646,2021
ACTIVELLE 28TAB,28.0,23.31902729333334,31.947067391866675,37.37806747746461,2021
ACTONEL ONCE A MONTH 150 MG 1 F.C. TAB,1.0,,,,2021
ACTOS 15MG 28TAB,28.0,57.25188392,77.00378387239999,90.0944238260641,2021
ACTOS 30MG 28TAB,28.0,81.15709569333333,109.15629370753332,127.71285895333406,2021
ACTOS 45MG 28TAB,28.0,89.85214494666667,120.85113495326667,141.39582270895394,2021
ACYCLO-V 200MG 30TAB,30.0,27.8579,38.165323,44.653426272122026,2021
ACYCLO-V 400MG 30TAB,30.0,23.7478,32.53448600000001,38.06534722377134,2021
